,translation-1.srt,translation-2.srt,translation-3.srt,translation-4.srt,translation-5.srt,translation-6.srt,translation-7.srt,translation-8.srt
translation-1.srt,1.0,0.8566765275465299,0.8627478408920373,0.8628075964021475,0.85624630238268,0.8617887033215917,0.8589602355283905,0.8444188726273006
translation-2.srt,0.8566765275465299,1.0,0.8650032144184393,0.8678979602260115,0.8565717003887062,0.8707569938742742,0.8667154806296574,0.8603343579371128
translation-3.srt,0.8627478408920373,0.8650032144184393,1.0,0.8638168642522159,0.8630718000416895,0.8682008853181906,0.8616646712178019,0.853784091789102
translation-4.srt,0.8628075964021475,0.8678979602260115,0.8638168642522159,1.0,0.8650420100027858,0.8796007835106009,0.876180335475511,0.8643695792266319
translation-5.srt,0.85624630238268,0.8565717003887062,0.8630718000416895,0.8650420100027858,1.0,0.8639727962911345,0.8565951915294235,0.8506812546035971
translation-6.srt,0.8617887033215917,0.8707569938742742,0.8682008853181906,0.8796007835106009,0.8639727962911345,1.0,0.8602452941497245,0.8509457308252231
translation-7.srt,0.8589602355283905,0.8667154806296574,0.8616646712178019,0.876180335475511,0.8565951915294235,0.8602452941497245,1.0,0.8561912806035081
translation-8.srt,0.8444188726273006,0.8603343579371128,0.853784091789102,0.8643695792266319,0.8506812546035971,0.8509457308252231,0.8561912806035081,1.0
